id,origen,fuente,no_enviar_email,no_llamar,compra,visitas_total,tiempo_en_site_total,paginas_vistas_visita,ult_actividad,ambito,ocupacion,conociste_google,conociste_revista,conociste_periodico,conociste_youtube,conociste_facebook,conociste_referencias,score_actividad,score_perfil,descarga_lm
604622,API,Chat,No,No,0,0.0,0,0.0,Chat Conversation,Select,Unemployed,No,No,No,No,No,No,,,No
579545,Landing Page Submission,Direct Traffic,Yes,No,0,2.0,199,2.0,SMS Sent,Business Administration,Unemployed,No,No,No,No,No,No,13.0,20.0,Yes
654842,Landing Page Submission,Direct Traffic,No,No,0,3.0,1577,1.5,Email Opened,Operations Management,Unemployed,No,No,No,No,No,No,13.0,17.0,Yes
591695,API,Google,No,No,0,5.0,404,5.0,Chat Conversation,Select,Unemployed,No,No,No,No,No,No,16.0,14.0,No
645342,Landing Page Submission,Direct Traffic,No,No,0,3.0,580,1.5,Email Opened,Finance Management,,No,No,No,No,No,No,14.0,17.0,Yes
588625,Landing Page Submission,Direct Traffic,No,No,1,5.0,1584,2.5,SMS Sent,Finance Management,Unemployed,No,No,No,No,No,No,14.0,17.0,No
623297,API,Google,No,No,1,2.0,1277,2.0,Email Opened,,,No,No,No,No,No,No,,,No
614630,Landing Page Submission,Direct Traffic,No,No,0,1.0,45,1.0,Converted to Lead,Human Resource Management,Unemployed,No,No,No,No,No,No,,,Yes
603592,Landing Page Submission,Google,No,No,0,4.0,191,4.0,Email Opened,E-COMMERCE,Unemployed,No,No,No,No,No,No,,,No
617235,Landing Page Submission,Direct Traffic,No,No,1,8.0,1499,8.0,SMS Sent,Rural and Agribusiness,Working Professional,No,No,No,No,No,No,,,No
644895,API,Chat,No,No,0,0.0,0,0.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,14.0,15.0,No
637395,Landing Page Submission,Direct Traffic,No,No,0,3.0,365,3.0,Email Opened,E-COMMERCE,,No,No,No,No,No,No,13.0,15.0,Yes
602753,Lead Add Form,Reference,No,No,1,0.0,0,0.0,Email Opened,Human Resource Management,Unemployed,No,No,No,No,No,No,,,No
626945,API,Google,No,No,1,4.0,1307,1.33,SMS Sent,Select,Unemployed,No,No,No,No,No,No,,,No
637854,Landing Page Submission,Google,No,No,1,5.0,1204,5.0,SMS Sent,Human Resource Management,Unemployed,No,No,No,No,No,No,15.0,18.0,No
580192,Landing Page Submission,Direct Traffic,No,No,0,2.0,12,2.0,SMS Sent,Marketing Management,Unemployed,No,No,No,No,No,No,13.0,20.0,Yes
644723,API,Organic Search,No,No,1,8.0,234,4.0,SMS Sent,Travel and Tourism,Working Professional,No,No,No,No,No,No,15.0,14.0,No
590849,API,Google,No,No,1,2.0,68,2.0,SMS Sent,Select,Unemployed,No,No,No,No,No,No,14.0,15.0,No
598894,Landing Page Submission,Direct Traffic,No,No,0,1.0,60,1.0,Converted to Lead,IT Projects Management,Student,No,No,No,No,No,No,,,Yes
588705,API,Chat,Yes,No,0,0.0,0,0.0,Chat Conversation,,,No,No,No,No,No,No,17.0,15.0,No
628578,Landing Page Submission,Organic Search,No,No,1,4.0,1185,4.0,SMS Sent,Human Resource Management,Unemployed,No,No,No,No,No,No,,,Yes
