Memory,Price_in_euros
256GB SSD,539.0
1TB HDD,879.01
1TB HDD,900.0
128GB Flash Storage,898.94
1TB HDD,428.0
256GB SSD,1124.0
256GB SSD,699.0
1TB HDD,499.0
128GB SSD +  1TB HDD,1348.48
512GB SSD,2445.0
512GB SSD,1958.9
1TB HDD,609.0
500GB HDD,344.0
512GB SSD,1747.0
256GB SSD +  256GB SSD,1298.0
1TB HDD,329.0
128GB SSD +  1TB HDD,1409.0
512GB SSD,1686.64
128GB SSD +  1TB HDD,1169.0
128GB SSD,1285.0
32GB Flash Storage,355.0
1TB HDD,859.01
512GB SSD,799.0
64GB Flash Storage,244.99
128GB SSD +  1TB HDD,1229.0
1TB HDD,2899.0
1.0TB Hybrid,949.0
128GB SSD +  1TB HDD,1350.0
1TB HDD,398.99
256GB SSD,1010.0
256GB SSD,1349.0
2TB HDD,557.37
1TB HDD,836.0
1TB HDD,500.0
500GB HDD,1000.0
500GB HDD,1907.99
128GB SSD,299.0
128GB SSD +  1TB HDD,1049.0
256GB Flash Storage,1875.0
128GB SSD +  1TB HDD,1272.0
512GB SSD,1925.0
256GB SSD,597.0
128GB SSD,1195.0
256GB SSD,1268.0
1TB HDD,709.0
500GB HDD,485.0
128GB SSD,439.0
512GB SSD,2899.0
256GB SSD +  1TB HDD,2199.0
256GB SSD,1049.26
180GB SSD,735.0
16GB Flash Storage,295.0
1TB SSD,6099.0
1TB HDD,764.0
512GB SSD,1084.0
1TB HDD,1187.0
256GB SSD +  2TB HDD,2449.0
256GB SSD,444.0
500GB HDD,324.0
512GB SSD,1510.0
1TB HDD,745.0
256GB SSD +  1TB HDD,1799.0
500GB HDD,393.49
256GB SSD,1292.0
128GB SSD +  1TB HDD,1189.0
256GB SSD,1513.0
128GB SSD +  1TB HDD,650.0
256GB SSD,1763.0
256GB SSD,1379.0
512GB SSD,2050.38
32GB Flash Storage,375.0
512GB SSD,1962.99
512GB SSD,1426.66
1TB HDD,589.52
256GB SSD,1072.0
64GB Flash Storage,549.0
